TimeCreated,Id,LevelDisplayName,ProviderName,Message
2024-11-14 10:00:01,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:01:30,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:03:15,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:05:45,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:06:50,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:20:25,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:21:10,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:22:05,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:23:30,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:24:50,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:30:00,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:35:00,4624,Information,Security,Successful login for user JohnDoe
2024-11-14 10:50:00,4624,Information,Security,Successful login for user JaneSmith
2024-11-14 12:00:00,4719,Information,Security,Audit policy changed: Enabling auditing for logon events
2024-11-14 12:05:00,4719,Information,Security,Audit policy changed: Disabling auditing for logoff events
2024-11-14 12:10:00,4719,Information,Security,Audit policy changed: Modifying policy for failed login attempts
2024-11-14 11:00:00,4648,Information,Security,Unauthorized access attempt detected on resource XYZ
2024-11-14 11:10:15,4673,Critical,Security,Privilege escalation attempt detected on user account Admin123

2024-11-14 14:00:00,4624,Information,Security,Successful remote desktop login for user JohnDoe (Logon Type: 10)
2024-11-14 14:15:30,4624,Information,Security,Successful remote desktop login for user JaneSmith (Logon Type: 10)
2024-11-14 14:30:00,4624,Information,Security,Successful remote desktop login for user AliceBrown (Logon Type: 10)

2024-11-14 10:45:00,4663,Warning,Security,Unauthorized access attempt to file C:\\Documents\\SensitiveFile.txt (Access Denied)
2024-11-14 10:50:30,4663,Warning,Security,Unauthorized access attempt to folder C:\\Users\\JohnDoe\\PrivateFolder (Denied)

2024-11-14 15:00:00,1102,Information,Security,Event log cleared by user SYSTEM
2024-11-14 15:30:00,1102,Information,Security,Event log cleared by user Admin

2024-11-14 11:00:00,1116,Information,Security,Malware detected: Trojan:Win32/Emotet detected and quarantined
2024-11-14 12:15:30,1116,Information,Security,Malicious software detected: Virus:Win32/Alureon found and removed

2024-11-14 14:00:00,4103,Information,Security,PowerShell script block logging event: Invoke-Expression used to run encoded PowerShell command
2024-11-14 14:05:30,4104,Information,Security,PowerShell script block logging event: IEX command executed with Base64 encoded script

2024-11-14 12:00:00,1074,Information,Security,User Admin initiated shutdown of the system
2024-11-14 13:30:00,1074,Information,Security,Process SystemProcess initiated a restart of the system

2024-11-14 12:00:00,41,Critical,Kernel-Power,Unexpected shutdown due to power loss. (Event ID: 41)
2024-11-14 12:10:00,6008,Critical,EventLog,The previous system shutdown at 12:00:00 on 2024-11-14 was unexpected. (Event ID: 6008)

2024-11-14 12:00:00,7045,Information,Security,A new service was installed: MyService (ServiceName: MyService, Path: C:\\Program Files\\MyService\\myservice.exe)
2024-11-14 12:15:30,7045,Information,Security,Service installation detected: New service installed for MyApp (ServiceName: MyApp, Path: C:\\Program Files\\MyApp\\myapp.exe)






