TimeCreated,Id,LevelDisplayName,ProviderName,Message
2024-11-14 10:00:01,4625,Warning,Security,Failed login attempt for user JohnDoe
2024-11-14 10:01:30,4625,Warning,Security,Failed login attempt for user JohnDoe

2024-11-14 10:20:25,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:21:10,4625,Warning,Security,Failed login attempt for user JaneSmith
2024-11-14 10:22:05,4625,Warning,Security,Failed login attempt for user JaneSmith

2024-11-14 11:00:00,4648,Information,Security,Unauthorized access attempt detected on resource XYZ
2024-11-14 11:10:15,4673,Critical,Security,Privilege escalation attempt detected on user account Admin123


2024-11-14 08:00:01,4624,Information,Security,Successful login for user JohnDoe from IP 192.168.1.10
2024-11-14 08:05:20,4624,Information,Security,Successful login for user JaneSmith from IP 192.168.1.15
2024-11-14 08:30:05,4624,Information,Security,Successful login for user JohnDoe from IP 192.168.1.10
2024-11-14 09:15:30,4624,Information,Security,Successful login for user JohnDoe from IP 192.168.1.10

